,机构,次数
551,常州机电职业技术学院模具技术学院,2
552,正德职业技术学院,2
553,山西工程职业学院,2
554,陕西财经职业技术学院,2
555,苏州科技大学,2
556,南京交通职业技术学院,2
557,江西省教育厅,2
558,天津财经大学,2
559,深圳职业技术学院商务外语学院,2
560,唐山学院,2
561,岳阳职业技术学院商贸物流学院,2
562,广西科技大学,2
563,盐城工业职业技术学院,2
564,吉安职业技术学院,2
565,廊坊师范学院,2
566,南京工业大学,2
567,青岛职业技术学院,2
568,盐城幼儿师范高等专科学校,2
569,湖南交通职业技术学院运输管理学院,2
570,湖南民族职业学院,2
571,广西工业职业技术学院,2
572,连云港师范高等专科学校,2
573,福建省教育科学研究所,2
574,南京工程学院,2
575,吉林大学,2
576,新时代中国职业教育研究院,2
577,广西大学,2
578,复旦大学,2
579,上海交通大学,2
580,广东交通职业技术学院,2
581,重庆水利电力职业技术学院,2
582,浙江经贸职业技术学院公共教育学院,2
583,武汉城市职业学院,2
584,莆田市政协教科卫体委员会,2
585,湖南生物机电职业技术学院,2
586,职业与继续教育学院,2
587,天津渤海职业技术学院,2
588,宁波开放大学,2
589,佛山职业技术学院,2
590,长江工程职业技术学院,2
591,信息中心,2
592,贵州腾云教育研究院,2
593,营口职业技术学院,2
594,基础学院,2
595,旅游学院,2
596,陕西机电职业技术学院,2
597,清远职业技术学院护理学院,2
598,哈尔滨师范大学,2
599,蒙古国研究大学,2
600,中国矿业大学,2
601,职业与继续教育研究所,2
602,公共管理与法学学院,2
603,有限公司,2
604,大数据与智慧教育研究中心,2
605,图文信息中心,2
606,职业教育研究与发展规划中心,2
607,哈尔滨体育学院马克思主义学院,2
608,河南工业大学,2
609,漯河工学院,2
610,广州华商职业学院,2
611,南京工业职业技术学院大学,2
612,苏州建设交通高等职业技术学校,2
613,辽宁科技大学,2
614,经济与法律学院,2
615,咸阳职业技术学院,2
616,安徽商贸职业技术学院金融科技学院,2
617,海南外国语职业学院,2
618,浙江交通技师学院,2
619,江苏电子信息职业学院,2
620,安徽省教育科学研究院,2
621,宁波职业技术学院国际商旅学院,2
622,广东省教育科学研究院,2
623,广西幼儿师范高等专科学校,2
624,驻马店职业技术学院,2
625,江西交通职业技术学院,2
626,中国社会科学院,2
627,江苏省南京工程高等职业学校,2
628,信阳职业技术学院,2
629,天津职业技术大学,2
630,重庆市渝北职业教育中心,2
631,衡水学院教育学院,2
632,湖南省教育厅,2
633,天津市仪表无线电工业学校,2
634,咸宁职业技术学院,2
635,广东司法警官职业学院,2
636,职业技术教育研究所,2
637,新疆大学,2
638,河北机电职业技术学院,2
639,陕西国防工业职业技术学院,2
640,长春工业大学,2
641,广东行政职业学院,2
642,外语学院,2
643,辽宁师范大学,2
644,湖南高速铁路职业技术学院,2
645,南宁职业技术学院艺术设计学院,2
646,中原工学院马克思主义学院,2
647,山东城市建设职业学院,2
648,物理学院,2
649,无锡职业技术学院开源创新创业学院,2
650,工商管理学院,2
651,大港油田公司,2
652,青岛求实职业技术学院,2
653,建筑工程学院,2
654,无锡商业职业技术学院设计与传媒学院,2
655,广西水利电力职业技术学院,2
656,惠州经济职业技术学院,2
657,南京航空航天大学,2
658,浙江舟山群岛新区旅游与健康职业学院,2
659,济南工程职业技术学院,2
660,高等教育出版社,2
661,重庆三峡职业技术学院,2
662,暨南大学,2
663,教育法治与教育标准研究所,2
664,日照职业技术学院,2
665,广州在建技工学校,2
666,四川职业技术学院,2
667,江苏海事职业技术学院,2
668,北京语言大学,2
669,浙江旅游职业学院旅游规划与设计学院,2
670,运城职业技术大学,2
671,湖南科技大学,2
672,广安职业技术学院,2
673,武汉商贸职业学院,2
674,常州纺织服装职业技术学院人文学院,2
675,上海第二工业大学,2
676,常州信息职业技术学院数字经济学院,2
677,计算机与软件学院,2
678,长沙航空职业技术学院马克思主义学院,2
679,北京信息科技大学,2
680,内蒙古民族大学,2
681,心理健康研究所,2
682,数据中心,2
683,河南医学高等专科学校,2
684,音乐学院,2
685,宝鸡职业技术学院,2
686,延安大学,2
687,南昌医学院妇幼保健与美容医学院,2
688,江西子生职业技术学院,2
689,广州大学,2
690,北京市昌平职业学校,2
691,青岛职业技术学院商学院,2
692,青岛滨海学院财经学院,2
693,内蒙古北斗应用技术研究院,2
694,怀化职业技术学院,2
695,药品与环境工程学院,2
696,西南民族教育心理研究中心,2
697,广东轻工职业技术学院轻化工技术学院,2
698,智能制造学院,2
699,际与比较教育研究院,1
700,长沙学院,1
701,安徽商贸职业技术学院电子商务学院,1
702,潍坊职业学院,1
